snout_front,fl_l_front,fl_r_front,snout_top,snout_bottom,fl_l,fl_r,hl_l,hl_r,tailbase_bottom,tailbase_top,day,mouse_id,group
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,FW2_ai94,grp1
0.00947394428691261,0.018882211053871535,0.06525616463330418,0.03565482662456969,0.03553473364482722,inf,0.03487985783117062,0.013128732705005627,0.018375063100047575,0.014249194512043612,0.02673042323160999,2,FW2_ai94,grp1
0.011100503429318355,0.012570417834981784,0.07633870200556189,0.02458970768716776,0.010794782453720984,inf,0.06080616436238209,0.0676963615796237,0.09748370300242189,0.018277678728697584,0.014500919925582131,3,FW2_ai94,grp1
0.051110659803687834,0.024206351313761865,0.00896632235714432,0.00435515929322623,0.0464790769608998,0.02852797319746534,0.013717492458012135,0.028000412639316956,0.030794978874593943,0.004838780988965443,0.003868517289335934,4,FW2_ai94,grp1
0.023151490081548404,0.03909981587679143,0.021688102638199907,0.022324450249921194,0.016351258984115158,0.02897888222523862,0.02684534871873702,inf,0.02140811100285745,0.0037820051712659356,0.00527411161373485,5,FW2_ai94,grp1
0.15274287572175851,0.005603162675362412,0.02110100580153034,0.13096189772265499,0.04430348991463782,0.02242254519359453,0.05191038528412997,0.0974408307427061,0.18569406409142777,0.15624536063213132,0.10109067097379489,6,FW2_ai94,grp1
0.021926510437356713,0.014679965730649511,0.025472052775334292,0.04923967345281069,0.041457382300479455,0.015191444962897876,0.03587609294517166,inf,inf,0.020486201991134316,0.04185545365493573,7,FW2_ai94,grp1
0.07104778908931828,0.04853073497326338,0.10619631385666725,0.07012478631753491,0.05569621708229395,0.03788502242038152,0.1569888475855917,0.13926260647737804,0.22694389585362515,0.1721370977018042,inf,8,FW2_ai94,grp1
0.13887825623567307,0.10396385856107675,0.2728047114438328,0.15340759550337926,0.0946554343831667,0.10102350756549609,0.2526151318602395,0.13320472194244434,0.2474167520408957,0.19499425824526767,0.15397286839028224,9,FW2_ai94,grp1
0.13695469104104602,0.057016594453291464,0.1650486894983244,0.16711549138261894,0.12125504951409641,0.15305723679883412,0.25170608961267027,0.21598826842155694,0.46030810778543646,0.25919482321953435,0.23577357521651823,10,FW2_ai94,grp1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,FW3_ai94,grp1
inf,inf,0.0026015612281210946,0.053985628681875175,inf,0.01646998439455423,0.004928464863771109,0.03306661304930005,0.03280553769826007,0.023513473866070916,0.009491133907402164,2,FW3_ai94,grp1
inf,0.07424285155962682,0.019075997829420557,0.008308718146257508,0.008573309443456132,0.05888561205638612,0.03046371505981225,0.03007628605775254,0.059338327428760954,0.02353762093260412,0.013977996464214711,3,FW3_ai94,grp1
