mouse_id,cal_day,day,control_joint,trials,rewards,fll_based_rewards,flr_based_rewards,fll_totaldist,flr_totaldist,pca_dims_brain,pca_dims_behavior,pca_dims_dlc,group
GIL3_ai94,20231219113156,1,fl_l,60,21,23,25,4.01047725777659,4.597594139288805,,,,grp3
GIR2_ai94,20231219095034,3,fl_l,60,42,43,27,4.63861002669972,4.60083415370171,0.0,,,grp3
GIL2_ai94,20231220084824,4,fl_l,60,43,47,40,10.6333924367294,11.3479821083745,0.0,,,grp3
GIL3_ai94,20231220101221,2,fl_l,60,22,23,30,2.389996295897049,2.8806966271186387,,,,grp3
GIR2_ai94,20231220093357,2,fl_l,60,30,30,20,3.223755259936379,3.6542432002233434,,,,grp3
BR1_vgat-ai203,20231218140153,10,fl_l,60,53,52,44,5.705589357995549,8.66657885751447,0.0,,,grp2
BR1_vgat-ai203,20231219122749,11,fl_l,60,37,37,38,4.48521982543191,5.79677281592484,0.0,,,grp2
BR2_vgat-ai203,20231218132224,10,fl_l,60,45,46,34,6.210064238423669,6.11033348810737,0.0,,,grp2
GIL2_ai94,20231222093818,5,fl_l,60,40,40,38,15.7834939833305,17.488036435838698,0.0,,,grp3
GIL3_ai94,20231222102151,3,fl_l,60,23,24,30,3.2324993307796097,3.9363453122447964,,,,grp3
GIR2_ai94,20231222111147,3,fl_l,60,37,39,24,3.908673933699359,3.9697536742541333,,,,grp3
GIL2_ai94,20231223083903,6,fl_l,60,43,44,46,32.0669093510498,32.926351202949,0.0,,,grp3
GIL3_ai94,20231223092451,4,fl_l,60,30,30,27,2.8476412453365265,2.813555851146012,,,,grp3
GIR2_ai94,20231223100618,4,fl_l,60,31,33,22,2.87446633807516,2.7026546843812285,,,,grp3
GIL2_ai94,20231224120516,7,fl_l,60,43,45,36,8.6315089671697,8.259711112000481,0.0,,,grp3
GIL3_ai94,20231224111520,5,fl_l,60,29,30,28,2.703880093859936,3.0681258386366728,,,,grp3
GIR2_ai94,20231224103230,5,fl_l,60,35,36,21,3.9364162335493638,3.863595204037648,,,,grp3
GIL2_ai94,20231225092316,8,fl_l,60,44,46,33,8.19014849798702,7.42008135570221,0.0,,,grp3
GIL3_ai94,20231225104109,6,fl_l,60,33,34,31,3.171339121897202,3.2448801123076993,,,,grp3
GIR2_ai94,20231225100238,6,fl_l,60,37,37,19,3.573755877603126,3.145141423009874,,,,grp3
GIL2_ai94,20231226102450,9,fl_l,60,40,44,39,6.68598760995234,6.861982456748152,0.0,,,grp3
GIR2_ai94,20231226110706,7,fl_l,60,44,45,27,4.4797348114496796,4.305809454220877,,,,grp3
GIL3_ai94,20231226114530,7,fl_l,60,31,33,29,4.175540747984471,4.630185107753876,,,,grp3
GIL2_ai94,20231227082335,10,fl_l,60,41,41,38,5.1733598631158895,5.9541475723413,0.0,,,grp3
GIL3_ai94,20231227104006,8,fl_l,60,56,54,50,7.23374241883147,9.470876207289495,,,,grp3
GIR2_ai94,20231227111141,8,fl_l,60,30,32,14,2.832718761895097,2.9548394077496947,,,,grp3
GIL2_ai94,20231228093900,11,fl_l,60,52,50,28,8.90574745379041,8.80034386014851,0.0,,,grp3
GIL3_ai94,20231228102202,9,fl_l,60,53,52,43,6.368844602941793,7.4687702128967315,,,,grp3
GIR2_ai94,20231228110347,9,fl_l,60,34,35,23,4.185049014065186,4.623141044657068,,,,grp3
GER2_ai94,20231228115304,1,fl_l,60,32,32,22,2.51161925145488,3.31920658411567,0.0,,,grp4
GER3_ai94,20231228124007,0,fl_l,60,41,41,49,5.96644387315791,8.82127214941911,0.0,,,grp4
GIL2_ai94,20231229100645,12,fl_l,60,47,47,42,11.157498665740302,12.4172961352318,0.0,,,grp3
GIL3_ai94,20231229104814,10,fl_l,60,48,48,42,5.300029462297429,5.748257375370465,,,,grp3
GIR2_ai94,20231229112431,10,fl_l,60,35,36,18,3.632538686434343,3.3177415834396577,,,,grp3
GER2_ai94,20231229122202,1,fl_l,60,0,31,28,3.5214200037361496,4.60241556214358,0.0,,,grp4
GER3_ai94,20231229131229,1,fl_l,60,0,24,23,3.0650163572463702,4.13064613296818,0.0,,,grp4
GIL3_ai94,20231230092314,10,fl_l,60,30,30,34,3.1771890295335,3.3967331592850094,0.0,,,grp3
GIL2_ai94,20231230100513,13,fl_l,60,38,39,29,6.5563320922288,6.88342900031577,0.0,,,grp3
GIR2_ai94,20231230105148,10,fl_l,60,26,26,18,3.2460488133827203,3.4503150870110297,0.0,,,grp3
GER3_ai94,20231230114126,2,fl_l,60,0,33,20,3.94230276673333,5.64676509542235,0.0,,,grp4
GER2_ai94,20231230122158,2,fl_l,60,0,33,21,3.2432711874328195,3.07672528071926,0.0,,,grp4
